84.65	84.65	100
84.66	84.66	100
84.67	84.67	100
84.68	84.68	100
84.69	84.69	100
84.7	84.7	100
84.71	84.71	100
84.72	84.72	100
84.73	84.73	100
84.74	84.74	100
84.75	84.75	100
84.76	84.76	100
84.77	84.77	100
84.78	84.78	100
84.79	84.79	100
84.8	84.8	100
84.81	84.81	100
84.82	84.82	100
84.83	84.83	100
84.84	84.84	100
84.85	84.85	100
84.86	84.86	100
84.87	84.87	100
84.88	84.88	100
84.89	84.89	100
84.9	84.9	100
84.91	84.91	100
84.92	84.92	100
84.93	84.93	100
84.94	84.94	100
84.95	84.95	100
84.96	84.96	100
84.97	84.97	100
84.98	84.98	100
84.99	84.99	100
85	85	100
85.01	85.01	100
85.02	85.02	100
85.03	85.03	100
85.04	85.04	100
85.05	85.05	100
85.06	85.06	100
85.07	85.07	100
85.08	85.08	100
85.09	85.09	100
85.1	85.1	100
85.11	85.11	100
85.12	85.12	100
85.13	85.13	100
85.14	85.14	100
85.15	85.15	100
85.16	85.16	100
85.17	85.17	100
85.18	85.18	100
85.19	85.19	100
85.2	85.2	100
85.21	85.21	100
85.22	85.22	100
85.23	85.23	100
85.24	85.24	100
85.25	85.25	100
85.26	85.26	100
85.27	85.27	100
85.28	85.28	100
85.29	85.29	100
85.3	85.3	100
85.31	85.31	100
85.32	85.32	100
85.33	85.33	100
85.34	85.34	100
85.35	85.35	100
85.36	85.36	100
85.37	85.37	100
85.38	85.38	100
85.39	85.39	100
85.4	85.4	100
85.41	85.41	100
85.42	85.42	100
85.43	85.43	100
85.44	85.44	100
85.45	85.45	100
85.46	85.46	100
85.47	85.47	100
85.48	85.48	100
85.49	85.49	100
85.5	85.5	100
85.51	85.51	100
85.52	85.52	100
85.53	85.53	100
85.54	85.54	100
85.55	85.55	100
85.56	85.56	100
85.57	85.57	100
85.58	85.58	100
85.59	85.59	100
85.6	85.6	100
85.61	85.61	100
85.62	85.62	100
85.63	85.63	100
85.64	85.64	100
85.65	85.65	100
85.66	85.66	100
85.67	85.67	100
